Name,URL,Building_Location,Location,Region,Independency,Job_opportunities,Colloquiums,OCW,latitude,longitude
Ruprecht-Karls-Universität Heidelberg,https://www.physik.uni-heidelberg.de/?lang=en,,"Grabengasse 1, 69117 Heidelberg, 德國","Galaxy Evolution,Gravitational Lensing,Statistics and Cosmology,Computational Stellar Dynamics,Theoretical galaxy evolution and stellar dynamics,Gaia Group,Lifecycle of Star Clusters,Galaxy star formation history,White Dwarfs,Galaxy clusters,Multi-scale Star Formation,Galactic Halos,Galaxy Evolution and AGN,Star Formation,Planet Formation,Gravitational lensing and galaxy clusters,Cosmic Dust,Astrochemistry and ISM Dynamics,Physics of Stellar Objects,Exoplanet,Galactic Archaeology,AGN,Extragalactic Astrophysics & High Energy Astrophysics,Instrumentation",No,,,,49.40994405,8.707992372
Université De Recherche Paris-Sciences-Et-Lettres,https://psl.eu/en/graduate-programs/graduate-program-astrophysics,,,"Sun, plasma,Planets, exoplanets,Stars and the interstellar medium,Galaxies and cosmology,Instrumental and digital engineering,Space engineering,High-energy astrophysics,Gravitation",,,,,48.85460568,2.33761216
University Of Michigan,https://lsa.umich.edu/astro,"1085 S. University
323 West Hall
Ann Arbor, MI 48109-1107","101 N Main St, Ann Arbor, MI 48104美國","Cosmology,Extragalactic & Galactic,Extreme Astrophysics,Stars & Exoplanets,Computational Astrophysics,Instrumentation,Michigan Institute for Research in Astrophysics",Yes,,,,42.281597,-83.7487366
University Of Texas,https://www.as.utexas.edu,"The University of Texas at Austin
Department of Astronomy
2515 Speedway, Stop C1400
Austin, Texas 78712-1205","Austin, TX 78712美國","Planetary Systems & Interstellar,Stars,Extragalactic,Instrumentation & Device Development,Education & Public Outreach,Theory",Yes,https://astronomy.utexas.edu/about/recruiting,https://astronomy.utexas.edu/colloquium-and-research-seminars,,30.2711286,-97.7436995
Seoul National University,https://physics.snu.ac.kr/en,"Seoul National University. 1 Gwanak-ro, Gwanak-gu, Seoul 08826, Korea","南韓 Seoul, Gwanak-gu, 관악로 1 서울대학교 생명과학부 504동","Nuclear Physics,Particle Physics,Cosmology,Biophysics",No,,https://physics.snu.ac.kr/en/boards/colloquium,,37.26728,126.9841151
The Hong Kong University Of Technology And Science,http://physics.ust.hk/eng/research.php,"The Hong Kong University of Science and Technology
Clear Water Bay, Kowloon, Hong Kong",香港清水灣,Particle Theory and Cosmology (PTC),No,,,,22.28467135,114.2962715
Tohoku University,https://www.astr.tohoku.ac.jp/en/,"6-3, Aramaki, Aoba-ku, Sendai, Miyagi, 980-8578, Japan","2 Chome-1-1 Katahira, Aoba Ward, Sendai, Miyagi 980-8577日本","extra-solar planets,stars,galaxies,clusters of galaxies,cosmology",Yes,,https://www.astr.tohoku.ac.jp/colloquium/index.html,,38.2530945,140.8736593
Australian National University,https://rsaa.anu.edu.au,"The Australian National University, Canberra",Canberra ACT 0200澳洲,"Black hole phenomena,Galactic archaeology,Instrumentation,Stellar and planetary astronomy,Structure and evolution of the Cosmos",Yes,,https://rsaa.anu.edu.au/news-events/seminars,,-35.28121335,149.1167789
Sapienza University Astronomy,https://www.uniroma1.it/en/offerta-formativa/dottorato/2019/astronomy-astrophysics-and-space-sciencee,"Piazzale Aldo Moro 5, 00185 Roma","Piazzale Aldo Moro, 5, 00185 Roma RM, 義大利",,,,,,41.9013068,12.5153388
The University Of Manchester,https://www.physics.manchester.ac.uk,"Jodrell Bank Observatory, Lower Withington, Macclesfield, Cheshire, SK11 9DL","Schuster Building The University of, Oxford Rd, Manchester M13 9PL英國","Cosmology,Pulsars,Sun stars and galaxies",No,http://www.jodrellbank.manchester.ac.uk/research/jobs/,,,53.467054175345,-2.2340553613678
Georgia Institute Of Technology,https://physics.gatech.edu/research,"School of Physics
Georgia Institute of Technology
837 State Street","North Ave NW, Atlanta, GA 30332美國","Astroparticle Physics,Black Holes and Neutron Stars,Computational Astrophysics,Cosmology and Galaxy Evolution,Gravitational Physics,High-Energy Astrophysics",No,https://physics.gatech.edu/about/employment,,,33.7713526,-84.396345
Shanghai Jiao Tong University,https://www.physics.sjtu.edu.cn/en/,,"China, Shanghai, Minhang District, 东川路 邮政编码: 200240",,No,,,,31.02526605,121.4335746
Osaka University,https://www.sci.osaka-u.ac.jp/en/graduate-schools/earth-and-space-science/,"Osaka University, 1-1 Yamadaoka, Suita, Osaka 565-0871 Japan","1-1 Yamadaoka, Suita, Osaka 565-0871日本","Astrophysics and Planetary Science,Earth and Planetary Material Sciences",No,,,,34.8209154,135.5242456
The University Of Edinburgh,https://ifa.roe.ac.uk/,,"Lauriston Pl, Edinburgh EH3 9DF英國","Active Galactic Nuclei,Cosmology,Exoplanets,Galaxy Formation & Evolution,Milky Way & Local Group,Simulations,Solar System,Wide-Field Astronomy Unit",Yes,https://ifa.roe.ac.uk/phds-jobs-fellowships,https://ifa.roe.ac.uk/seminars-events,,55.94411352,-3.189921323
Sorbonne University,http://www.iap.fr/institut/presentation/presentation.php?langue=en,Institut d'Astrophysique de Paris - 98 bis boulevard Arago - 75014 Paris,,"High energy astrophysics and early Universe,Exoplanets and interstellar medium,Large scale structures and the distant universe,Origin and evolution of galaxies,Stellar physics and extrasolar planets,Theoretical physics: gravitation and cosmology",Yes,http://www.iap.fr/recherche/recrutement/recrutement.php,,,48.8349945,2.33525077
University Of British Columbia,https://phas.ubc.ca/astronomy-astrophysics,"Department of Physics & Astronomy
Vancouver Campus
325 - 6224 Agricultural Road
Vancouver, BC V6T 1Z1","Vancouver, BC V6T 1Z4加拿大","Planetary Astronomy,Solar system formation and evolution,Cosmology,CMB,Stellar and High-Energy Astrophysics,Extragalactic Astrophysics,Stellar astrophysics, stellar pulsation and asteroseismology, exoplanetary science,Gravitational wave",No,https://phas.ubc.ca/open-positions-physics-astronomy,,,49.2608724,-123.1139529
University Of Pennsylvania,https://www.physics.upenn.edu/research/,"Department of Physics & Astronomy
University of Pennsylvania
209 South 33rd Street
University of Pennsylvania
Philadelphia, PA 19104-6396","Philadelphia, PA 19104美國","Cosmology,millimeter and sub-millimeter observations,observations of the Solar System beyond Neptune,detection of planets and planet-forming systems around nearby stars",No,,,,39.9527237,-75.1635262
UCSD,https://physics.ucsd.edu,"UC San Diego 9500 Gilman Dr. La Jolla, CA 92093","9500 Gilman Dr, La Jolla, CA 92093美國","Cosmolog,Gravitation Astrophysics,CMB Polarization,Origin of Structure,Dark Matter/Energy Theory,Neutrino/Nuclear Astrophysics,Cosmic Rays, High Energy Astronomy,Brown Dwarfs and Planets,Plasma Astrophysics,Solar and Heliospheric Physics",No,,https://cass.ucsd.edu/index.php/seminars:Main,,32.87935255,-117.2311005
University Of Amsterdam (Anton Pannekoek Institute For Astronomy),https://api.uva.nl/?cb,,"Science Park 904, 1098 XH Amsterdam, 荷蘭","Exoplanets and planet formation,Massive stars and stellar populations,Accretion : Inflow & Outflows,Dense matter,Transients, explosions and particles",Yes,https://api.uva.nl/vacancies/phd-recruitment/phd-recruitment.html,https://api.uva.nl/news-and-events/colloquia/colloquia.html,,52.35447964,4.955729666
Carnegie Mellon University,https://www.cmu.edu/physics/research/astro-cosmo.html,"Department of Physics
Carnegie Mellon University
5000 Forbes Avenue
Pittsburgh, PA 15213","5000 Forbes Ave, Pittsburgh, PA 15213美國","Simulation,Cosmology",No,https://www.cmu.edu/physics/news-events/employment.html,,,40.444177,-79.94339075
Mcgill University Astronomy,http://www.physics.mcgill.ca/research/astro.html,"Ernest Rutherford Physics Building
McGill University
3600 rue University
Montréal, QC
Canada H3A 2T8","3550 Rue University, Montréal, QC H3A 2A7加拿大","Neutron stars/Pulsars,Galaxies & Cosmology,Experimental Astrophysics,Exoplanets,Nuclear Astrophysics,Black Holes",No,http://www.physics.mcgill.ca/pos/,,,45.5069231,-73.5777406
